Opportunity_External_ID__c,Household_External_ID,Name,StageName,CloseDate,Amount,Type,Description
OPP-00001,HH-0002,Miller Household - Estate Planning,Qualification,2026-10-29,75000,Estate Planning,Potential estate planning opportunity for Miller Household.
OPP-00002,HH-0006,Ellis Household - Insurance Review,Prospecting,2026-10-17,50000,Insurance Review,Potential insurance review opportunity for Ellis Household.
OPP-00003,HH-0007,Fleming Household - Cash Management,Negotiation/Review,2027-02-14,50000,Cash Management,Potential cash management opportunity for Fleming Household.
OPP-00004,HH-0008,Jones Household - Portfolio Consolidation,Closed Won,2026-08-07,250000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Jones Household.
OPP-00005,HH-0010,Daniels Household - New Investment,Closed Lost,2026-07-23,75000,New Investment,Potential new investment opportunity for Daniels Household.
OPP-00006,HH-0011,Gibson Household - Retirement Planning,Closed Lost,2026-08-24,100000,Retirement Planning,Potential retirement planning opportunity for Gibson Household.
OPP-00007,HH-0012,Christian Household - Estate Planning,Closed Lost,2026-08-02,100000,Estate Planning,Potential estate planning opportunity for Christian Household.
OPP-00008,HH-0017,Thornton Household - Cash Management,Needs Analysis,2027-03-01,500000,Cash Management,Potential cash management opportunity for Thornton Household.
OPP-00009,HH-0019,Byrd Household - Retirement Planning,Closed Won,2026-06-12,50000,Retirement Planning,Potential retirement planning opportunity for Byrd Household.
OPP-00010,HH-0020,Pena Household - Estate Planning,Prospecting,2026-10-19,75000,Estate Planning,Potential estate planning opportunity for Pena Household.
OPP-00011,HH-0021,Howard Household - Insurance Review,Closed Won,2026-07-19,100000,Insurance Review,Potential insurance review opportunity for Howard Household.
OPP-00012,HH-0022,Vang Household - Portfolio Consolidation,Needs Analysis,2027-03-08,500000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Vang Household.
OPP-00013,HH-0023,Lewis Household - Portfolio Consolidation,Qualification,2026-11-25,250000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Lewis Household.
OPP-00014,HH-0024,Nelson Household - Insurance Review,Needs Analysis,2027-02-13,500000,Insurance Review,Potential insurance review opportunity for Nelson Household.
OPP-00015,HH-0025,Lee Household - Estate Planning,Closed Lost,2026-05-22,50000,Estate Planning,Potential estate planning opportunity for Lee Household.
OPP-00016,HH-0026,Wagner Household - Estate Planning,Proposal/Price Quote,2026-10-10,100000,Estate Planning,Potential estate planning opportunity for Wagner Household.
OPP-00017,HH-0027,Lucas Household - Cash Management,Closed Won,2026-06-13,100000,Cash Management,Potential cash management opportunity for Lucas Household.
OPP-00018,HH-0031,Martinez Household - Retirement Planning,Qualification,2027-02-14,500000,Retirement Planning,Potential retirement planning opportunity for Martinez Household.
OPP-00019,HH-0036,Castillo Household - Retirement Planning,Negotiation/Review,2026-10-17,150000,Retirement Planning,Potential retirement planning opportunity for Castillo Household.
OPP-00020,HH-0039,Anderson Household - Retirement Planning,Closed Lost,2026-06-20,500000,Retirement Planning,Potential retirement planning opportunity for Anderson Household.
OPP-00021,HH-0040,Young Household - Insurance Review,Negotiation/Review,2027-02-06,150000,Insurance Review,Potential insurance review opportunity for Young Household.
OPP-00022,HH-0041,Rivera Household - Cash Management,Closed Lost,2026-06-09,50000,Cash Management,Potential cash management opportunity for Rivera Household.
OPP-00023,HH-0045,Maldonado Household - Estate Planning,Proposal/Price Quote,2027-01-18,75000,Estate Planning,Potential estate planning opportunity for Maldonado Household.
OPP-00024,HH-0046,Gibson Household - Portfolio Consolidation,Closed Won,2026-05-30,100000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Gibson Household.
OPP-00025,HH-0047,Carr Household - New Investment,Closed Lost,2026-05-20,500000,New Investment,Potential new investment opportunity for Carr Household.
OPP-00026,HH-0050,Smith Household - Retirement Planning,Negotiation/Review,2026-09-24,250000,Retirement Planning,Potential retirement planning opportunity for Smith Household.
