Opportunity_External_ID__c,AccountId,Name,StageName,CloseDate,Amount,Type,Description
OPP-00001,001aj00003rOxZyAAK,Miller Household - Estate Planning,Qualification,2026-10-29,75000,Estate Planning,Potential estate planning opportunity for Miller Household.
OPP-00002,001aj00003rOxa2AAC,Ellis Household - Insurance Review,Prospecting,2026-10-17,50000,Insurance Review,Potential insurance review opportunity for Ellis Household.
OPP-00003,001aj00003rOxa3AAC,Fleming Household - Cash Management,Negotiation/Review,2027-02-14,50000,Cash Management,Potential cash management opportunity for Fleming Household.
OPP-00004,001aj00003rOxa4AAC,Jones Household - Portfolio Consolidation,Closed Won,2026-08-07,250000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Jones Household.
OPP-00005,001aj00003rOxa6AAC,Daniels Household - New Investment,Closed Lost,2026-07-23,75000,New Investment,Potential new investment opportunity for Daniels Household.
OPP-00006,001aj00003rOxa7AAC,Gibson Household - Retirement Planning,Closed Lost,2026-08-24,100000,Retirement Planning,Potential retirement planning opportunity for Gibson Household.
OPP-00007,001aj00003rOxa8AAC,Christian Household - Estate Planning,Closed Lost,2026-08-02,100000,Estate Planning,Potential estate planning opportunity for Christian Household.
OPP-00008,001aj00003rOxaDAAS,Thornton Household - Cash Management,Needs Analysis,2027-03-01,500000,Cash Management,Potential cash management opportunity for Thornton Household.
OPP-00009,001aj00003rOxaFAAS,Byrd Household - Retirement Planning,Closed Won,2026-06-12,50000,Retirement Planning,Potential retirement planning opportunity for Byrd Household.
OPP-00010,001aj00003rOxaGAAS,Pena Household - Estate Planning,Prospecting,2026-10-19,75000,Estate Planning,Potential estate planning opportunity for Pena Household.
OPP-00011,001aj00003rOxaHAAS,Howard Household - Insurance Review,Closed Won,2026-07-19,100000,Insurance Review,Potential insurance review opportunity for Howard Household.
OPP-00012,001aj00003rOxaIAAS,Vang Household - Portfolio Consolidation,Needs Analysis,2027-03-08,500000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Vang Household.
OPP-00013,001aj00003rOxaJAAS,Lewis Household - Portfolio Consolidation,Qualification,2026-11-25,250000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Lewis Household.
OPP-00014,001aj00003rOxaKAAS,Nelson Household - Insurance Review,Needs Analysis,2027-02-13,500000,Insurance Review,Potential insurance review opportunity for Nelson Household.
OPP-00015,001aj00003rOxaLAAS,Lee Household - Estate Planning,Closed Lost,2026-05-22,50000,Estate Planning,Potential estate planning opportunity for Lee Household.
OPP-00016,001aj00003rOxaMAAS,Wagner Household - Estate Planning,Proposal/Price Quote,2026-10-10,100000,Estate Planning,Potential estate planning opportunity for Wagner Household.
OPP-00017,001aj00003rOxaNAAS,Lucas Household - Cash Management,Closed Won,2026-06-13,100000,Cash Management,Potential cash management opportunity for Lucas Household.
OPP-00018,001aj00003rOxaRAAS,Martinez Household - Retirement Planning,Qualification,2027-02-14,500000,Retirement Planning,Potential retirement planning opportunity for Martinez Household.
OPP-00019,001aj00003rOxaWAAS,Castillo Household - Retirement Planning,Negotiation/Review,2026-10-17,150000,Retirement Planning,Potential retirement planning opportunity for Castillo Household.
OPP-00020,001aj00003rOxaZAAS,Anderson Household - Retirement Planning,Closed Lost,2026-06-20,500000,Retirement Planning,Potential retirement planning opportunity for Anderson Household.
OPP-00021,001aj00003rOxaaAAC,Young Household - Insurance Review,Negotiation/Review,2027-02-06,150000,Insurance Review,Potential insurance review opportunity for Young Household.
OPP-00022,001aj00003rOxabAAC,Rivera Household - Cash Management,Closed Lost,2026-06-09,50000,Cash Management,Potential cash management opportunity for Rivera Household.
OPP-00023,001aj00003rOxafAAC,Maldonado Household - Estate Planning,Proposal/Price Quote,2027-01-18,75000,Estate Planning,Potential estate planning opportunity for Maldonado Household.
OPP-00024,001aj00003rOxagAAC,Gibson Household - Portfolio Consolidation,Closed Won,2026-05-30,100000,Portfolio Consolidation,Potential portfolio consolidation opportunity for Gibson Household.
OPP-00025,001aj00003rOxahAAC,Carr Household - New Investment,Closed Lost,2026-05-20,500000,New Investment,Potential new investment opportunity for Carr Household.
OPP-00026,001aj00003rOxakAAC,Smith Household - Retirement Planning,Negotiation/Review,2026-09-24,250000,Retirement Planning,Potential retirement planning opportunity for Smith Household.
